,total,url,exchangeId,instrumentType,symbolTicker,symbolExchangeTicker,normalizedTicker,symbolEsignalTicker,instrumentName,micCode
26,6717,https://www.nyse.com/quote/XNMS:ABLLL,564,PREFERRED_STOCK,ABLLL,ABLLL,ABLLL,ABLLL,ABACUS LIFE INC 9.875% SENIOR NOTES 15/11/2028 USD25,XNMS
27,6717,https://www.nyse.com/quote/XNYS:ABM,558,COMMON_STOCK,ABM,ABM,ABM,ABM,ABM INDUSTRIES INC,XNYS
28,6717,https://www.nyse.com/quote/XNGS:ABNB,564,COMMON_STOCK,ABNB,ABNB,ABNB,ABNB,AIRBNB INC,XNGS
29,6717,https://www.nyse.com/quote/XNGS:ABOS,564,COMMON_STOCK,ABOS,ABOS,ABOS,ABOS,ACUMEN PHARMACEUTICALS INC,XNGS
30,6717,https://www.nyse.com/quote/XNMS:ABP,564,COMMON_STOCK,ABP,ABP,ABP,ABP,ABPRO HOLDINGS INC,XNMS
31,6717,https://www.nyse.com/quote/XNYS:ABR,558,REIT,ABR,ABR,ABR,ABR,ARBOR REALTY TRUST INC,XNYS
32,6717,https://www.nyse.com/quote/XNYS:ABRpD,558,PREFERRED_STOCK,ABR-D,ABRpD,ABRpD,ABR/PD,ARBOR REALTY TRUST INC 6.375% SERIES D CUMULATIVE RED PFD STK,XNYS
33,6717,https://www.nyse.com/quote/XNYS:ABRpE,558,PREFERRED_STOCK,ABR-E,ABRpE,ABRpE,ABR/PE,ARBOR REALTY TRUST INC SER E CUM RED PFD SHS,XNYS
34,6717,https://www.nyse.com/quote/XNYS:ABRpF,558,PREFERRED_STOCK,ABR-F,ABRpF,ABRpF,ABR/PF,ARBOR REALTY TRUST INC 6.25% SER F FXD/FLTG RATE CUMULATIVE PFD,XNYS
35,6717,https://www.nyse.com/quote/XNGS:ABSI,564,COMMON_STOCK,ABSI,ABSI,ABSI,ABSI,ABSCI CORP,XNGS
36,6717,https://www.nyse.com/quote/XNCM:ABTS,564,COMMON_STOCK,ABTS,ABTS,ABTS,ABTS,ABITS GROUP INC,XNCM
37,6717,https://www.nyse.com/quote/XNGS:ABUS,564,COMMON_STOCK,ABUS,ABUS,ABUS,ABUS,ARBUTUS BIOPHARMA CORP,XNGS
38,6717,https://www.nyse.com/quote/XNCM:ABVC,564,COMMON_STOCK,ABVC,ABVC,ABVC,ABVC,ABVC BIOPHARMA INC,XNCM
39,6717,https://www.nyse.com/quote/XNMS:ABVE,564,COMMON_STOCK,ABVE,ABVE,ABVE,ABVE,ABOVE FOOD INGREDIENTS INC,XNMS
40,6717,https://www.nyse.com/quote/XNMS:ABVX,564,DEPOSITORY_RECEIPT,ABVX,ABVX,ABVX,ABVX,ABIVAX SPON ADS EACH REP 1 ORD SHS,XNMS
41,6717,https://www.nyse.com/quote/XNYS:AC,558,COMMON_STOCK,AC,AC,AC,AC,ASSOCIATED CAP GROUP INC,XNYS
42,6717,https://www.nyse.com/quote/XNYS:ACA,558,COMMON_STOCK,ACA,ACA,ACA,ACA,ARCOSA INC,XNYS
43,6717,https://www.nyse.com/quote/XNGS:ACAD,564,COMMON_STOCK,ACAD,ACAD,ACAD,ACAD,ACADIA PHARMACEUTICALS INC,XNGS
44,6717,https://www.nyse.com/quote/XNCM:ACB,564,COMMON_STOCK,ACB,ACB,ACB,ACB,AURORA CANNABIS INC,XNCM
45,6717,https://www.nyse.com/quote/XNYS:ACCO,558,COMMON_STOCK,ACCO,ACCO,ACCO,ACCO,ACCO BRANDS CORPORATION,XNYS
46,6717,https://www.nyse.com/quote/XASE:ACCS,545,COMMON_STOCK,ACCS,ACCS,ACCS,ACCS,ACCESS NEWSWIRE INC,XASE
47,6717,https://www.nyse.com/quote/XNGS:ACDC,564,COMMON_STOCK,ACDC,ACDC,ACDC,ACDC,PROFRAC HOLDING CORP,XNGS
48,6717,https://www.nyse.com/quote/XNYS:ACEL,558,COMMON_STOCK,ACEL,ACEL,ACEL,ACEL,ACCEL ENTERTAINMENT INC,XNYS
49,6717,https://www.nyse.com/quote/XNMS:ACET,564,COMMON_STOCK,ACET,ACET,ACET,ACET,ADICET BIO INC,XNMS
50,6717,https://www.nyse.com/quote/XNGS:ACGL,564,COMMON_STOCK,ACGL,ACGL,ACGL,ACGL,ARCH CAPITAL GROUP,XNGS
51,6717,https://www.nyse.com/quote/XNGS:ACGLN,564,PREFERRED_STOCK,ACGLN,ACGLN,ACGLN,ACGLN,ARCH CAPITAL GROUP DEP SHS EACH REP 1/1000TH NCUM PFD SER G,XNGS
52,6717,https://www.nyse.com/quote/XNGS:ACGLO,564,PREFERRED_STOCK,ACGLO,ACGLO,ACGLO,ACGLO,ARCH CAPITAL GROUP 5.45% NON CUM DEP REP 1/1000 PFD SER F,XNGS
53,6717,https://www.nyse.com/quote/XNGS:ACHC,564,COMMON_STOCK,ACHC,ACHC,ACHC,ACHC,ACADIA HEALTHCARE,XNGS
54,6717,https://www.nyse.com/quote/XNYS:ACHR,558,COMMON_STOCK,ACHR,ACHR,ACHR,ACHR,ARCHER AVIATION INC,XNYS
55,6717,https://www.nyse.com/quote/XNCM:ACHV,564,COMMON_STOCK,ACHV,ACHV,ACHV,ACHV,ACHIEVE LIFE SCIENCE INC,XNCM
56,6717,https://www.nyse.com/quote/XNYS:ACI,558,COMMON_STOCK,ACI,ACI,ACI,ACI,ALBERTSONS COMPANIES INC,XNYS
