ticker_name,alfa,erro_alfa,significancia_alfa,beta_dividendo,erro_beta,significancia_beta,r2,r2_ajustado,f_stat,p_f_stat,durbin_watson,jarque_bera,p_jarque_bera,max_cooks_distance,indice_outlier,possui_outlier_influente,residuo_p2_5,residuo_p25,residuo_p50,residuo_p75,residuo_p97_5,quantidade_residuos_extremos
CMU,-0.010691768218134827,0.008485961705854252,0.20991545522918048,-0.4386732883074224,0.43589886521002497,0.3160813329645863,0.00761408227186422,0.00009600713756019452,1.012770175323477,0.316081332964585,1.8082018056608338,89.89496448129084,0.000000000000000000030168692432132914,0.17137463907094092,98,1,-0.03937222458124307,-0.010644167308984988,0.0007812729226918703,0.011110149142889724,0.03888397280378961,8
CNA,0.032109022644428664,0.04854894326648315,0.5119008299902721,-0.948825014674172,0.042476065428905474,0.00000000000000000000000027461483031237284,0.9206613716523288,0.9188162872721504,498.9806328333394,2.74614830312366e-25,1.4069077568868784,7.740413353068404,0.020854058935166724,0.31089213468631427,12,1,-0.3271236627061709,-0.15490337932744816,-0.013603584596510787,0.10018927404561984,0.523366799581487,4
CNMD,,,,0.5420463735407048,0.7138445121970699,0.4517956229679282,-0.0000000000000002220446049250313,-0.0000000000000002220446049250313,,0x000000000000F87F,1.4461130025469267,54.074195988380005,0.0000000000018110795822268177,0.2736756478166033,24,1,-0.9376609455455434,-0.485911716114391,-0.11840950358997691,0.09659255634654652,2.8475935329090456,4
CNO,0.01492168004639044,0.14319837729022686,0.9175043884427165,-1.3790202413145005,1.2757125384809982,0.2858739205393086,0.027068767885945366,0.0039037385498965627,1.1685186102407203,0.285873920539309,1.8488548790727164,60.61777845477518,0.00000000000006870947907574321,0.17927679961129953,24,1,-0.5659048142462876,-0.09572905295858249,-0.010125851705438199,0.1068510657654126,0.46689368922143415,4
CNOB,-0.0875274819784645,0.08316095396388691,0.2984458304056583,0.6733560736037179,0.7311059101984606,0.3621836342827538,0.01934535083117528,-0.0034605712425184176,0.8482599725046808,0.362183634282755,2.3173033865791295,5.4543446144347705,0.06540397077046263,0.4423401709707383,39,1,-0.30255500413039643,-0.11297384207208777,-0.022973689484197153,0.0869249012965127,0.4213930095216771,4
CNP,0.10215670387489731,0.09424345793878097,0.28442045013760026,-1.3946721728396214,0.4074702254721238,0.001371897957346649,0.21411343586034215,0.195837004136164,11.715275667136332,0.00137189795734665,1.8397403195054738,1.7942811248150432,0.4077338840297098,0.14346471940094294,14,1,-0.24977444856223663,-0.05627914941985088,-0.002331512164110927,0.061614446624832175,0.27856762435511234,4
CNQ,-0.049499354122370026,0.0870904820539781,0.572812340099494,-0.7789704718911739,0.3839898257060919,0.04886823441239044,0.08923956067010608,0.06755478830510864,4.115310005013115,0.0488682344123907,2.4482197298533634,11.700665090767027,0.0028789416201394726,0.31577665192270665,33,1,-0.6036998570625943,-0.09699459993389559,0.03891794580533358,0.1762162109379587,0.4856652963148861,4
CNS,0.04204405775729847,0.13458751663819163,0.7562526106974434,-0.8615996760371227,0.16621542444640772,0.0000055359759843559505,0.3845717509708366,0.3702594661096933,26.870045887286448,5.53597598435598e-06,1.9072314505264631,87.0784800360535,0.000000000000000000123352601709952,0.37935671165828955,19,1,-1.2260083810031508,-0.16866866972179828,-0.05093224241613853,0.21906440065026772,0.9422110066012135,4
CODI,0.014632035385679781,0.10423950719115632,0.8890087779322164,-1.1107395313666608,0.29524233681631823,0.0004945470794821536,0.24338315595924576,0.22618731859468322,14.153608853082831,0.000494547079482154,2.0650296514595268,4.026000562692025,0.13358727340708546,0.47032673545555825,31,1,-0.35792569515410483,-0.12280967254781781,0.00023444386164034325,0.12273390980402316,0.36496165132768765,4
COKE,0.6434961106451014,0.31117833447536225,0.04469583120825275,-0.45170729120361336,0.12041854370313183,0.0005218822755032499,0.24655360790579905,0.22903159878732926,14.071080903953483,0.00052188227550325,1.786386023514614,131.88020639396103,0.00000000000000000000000000002304501766787968,48.585095887725664,40,1,-2.467561170168417,-1.0805723396020106,-0.400564405031698,0.7694337639136145,3.4840470304109887,4
COLB,0.031229243927679257,0.5847542043205044,0.9576559655058323,-1.052895878671464,1.8248439141848383,0.566962537994641,0.0076824829787454085,-0.01539466857988847,0.3329042997020666,0.566962537994641,1.940851283482939,308.3547465187735,0.00000000000000000000000000000000000000000000000000000000000000000011005697180358335,0.24990590723130884,31,1,-0.9212757976867957,-0.15641847419361465,0.04252673628471387,0.13040815455582405,0.9517519210535359,4
COLM,0.11005394043645494,0.5877734009945914,0.8524441778843157,-2.22382405489012,2.4917855144473218,0.37761913492072674,0.020014040764500085,-0.005113804344102357,0.7964885440036504,0.377619134920727,1.6648786729284433,98.95342091695227,0.00000000000000000000032549001112214846,0.29092446091672153,24,1,-1.8763315896261075,-0.1729024515084815,0.06023484720743855,0.47351966779706306,1.5991885723424963,2
COP,-0.4021694046015324,0.28940987916389427,0.1706815374616893,-0.05658478877493356,0.5236975142465873,0.9143811018448905,0.00022885942013672889,-0.019374496277507536,0.011674502246786171,0.914381101844879,2.4589669061912747,141.9823921541356,0.0000000000000000000000000000001475418687947207,0.2164908621259616,37,1,-1.1168227729040943,-0.33878587044063846,0.029428375529449602,0.45630767607644934,1.302133276270763,4
COR,-0.2146998875175119,0.7068350649432142,0.7627846855036523,-0.2231203860553146,1.7186824256711266,0.8973137581386064,0.0003917857121356061,-0.022854916945721726,0.016853388538660512,0.897313758138584,1.7997822363309608,135.80754166944394,0.0000000000000000000000000000032342011414712925,0.5850714098690941,40,1,-1.5676441205005844,-0.36158771928456845,0.022910222996526952,0.3694087667587094,1.4343741260789606,4
COST,0.1978847028757369,0.311621982234892,0.5284979653061292,-0.8168579279560277,0.10615140982668649,0.0000000007285823887769991,0.5575068556731888,0.5480921079215546,59.21633488017908,7.28582388777002e-10,1.7994288138558854,29.890053749265082,0.00000032318954001681773,0.1416359788679556,39,1,-3.2074750647249495,-0.6025547327592249,-0.15790013845134707,0.7007055630126651,3.984325838417363,4
CP,-0.10978177742804467,0.15191077109256745,0.4739833079243746,0.9518346365140175,1.338634183216642,0.48107962727474574,0.012181270478536677,-0.011911869265889274,0.5055908282503899,0.481079627274746,1.6881975759140337,17.66056662567706,0.00014623680285123582,0.16539965199369977,24,1,-0.647582346148849,-0.14771756456349638,0.017723379830455736,0.14319167603359567,0.5258868800316093,4
