ticker_name,beta_dividendo,significancia_beta,r2,r2_ajustado,f_stat,p_f_stat,validade_regressao
BLK,-1.268087201602848,0.03134056423062592,0.10564018689160326,0.08434590562711775,4.960965133290915,0.031340564230626,1
BLW,-0.6759039052746106,0.0004432441500491943,0.09022632227865546,0.08328148504414146,12.99185556577964,0.000443244150049174,1
BLX,-1.5517555328213828,0.005535836032952806,0.18112461543835345,0.16012781070600357,8.626294226535034,0.00553583603295284,0
BME,-0.8248210166698232,0.0000000000000000000000000000000000008297287835671314,0.7217589320076763,0.7195506695632927,326.84472529222796,8.29728783567187e-37,1
BMI,2.609700195141415,0.17200703663912684,0.04293692898963053,0.02067964826845914,1.929118364795951,0.172007036639127,1
BMO,-1.1953066283817968,0.008302473237400186,0.16549073266249514,0.14409305914102077,7.734052606065344,0.00830247323740019,1
BMRC,-1.8669538913885924,0.026383958204777833,0.10952010417634639,0.0888112693897497,5.2885691206166365,0.0263839582047781,1
BMY,-1.2462800336642388,0.41394296014590237,0.01595302542373178,-0.007476664447131576,0.6808893123067128,0.413942960145906,1
BN,1.4357057659222627,0.45620497864223,0.01328783723459126,-0.010205309497918424,0.5656048287564452,0.456204978642233,1
BNS,-0.2261898967236144,0.7610295318009911,0.0021738201360975706,-0.02103143986073741,0.09367790476788819,0.761029531800995,1
BNY,-0.3109233080857922,0.5195410984967761,0.003149408805953602,-0.004402489612183036,0.4170353772754596,0.519541098496782,1
BOE,-0.9235590241362968,0.00000000000000000000000000000000000000000017167723910113655,0.7792929571214897,0.7775551063901629,448.4234135152092,1.71677239101164e-43,1
BOH,0.34331788966952476,0.6802653547615589,0.0038961930774943365,-0.018742529807108,0.17210304209095925,0.680265354761559,1
BOKF,-1.6022023632019282,0.4631857072962977,0.012294908202570065,-0.010152934792825974,0.547710005148006,0.463185707296294,1
BP,-0.7131184133187343,0.1532594710828822,0.04684980590068277,0.02468352231697768,2.1135616046671504,0.153259471082883,1
BR,-0.6504128483841418,0.4623174912011958,0.012933272112942484,-0.010568316646273113,0.5503147997971409,0.462317491201191,1
BRC,-4.1155873856370935,0.26991446820444304,0.028230636322694402,0.0056313487953151276,1.2491825810213166,0.269914468204445,1
BRKL,-0.9611368344774838,0.16335437295190416,0.044681038826611674,0.022464318799323535,2.01114470415666,0.163354372951903,1
BRO,14.255215555996273,0.008100522547215272,0.1520463872023866,0.13232653574197695,7.710321120199167,0.00810052254721519,0
BRW,-0.8051665945283257,0.000025729982207190286,0.12599435346235655,0.11937309856434408,19.0287725518885,2.57299822071902e-05,1
BSBR,-1.0737681365893137,0.0000000005441565604419115,0.6132293330026355,0.6037959021002608,65.00597071721414,5.44156560441913e-10,1
BSET,-1.246201593204057,0.0000000007322674459046682,0.5497644550780463,0.5403845478921723,58.610863005764195,7.32267445904678e-10,1
BSRR,-0.5700788260899983,0.3691534599675256,0.01879619614993011,-0.004022496962862165,0.823719222526062,0.369153459967526,1
BTA,-2.683106498218346,0.0030751350046943292,0.06446049889203298,0.05737307842909389,9.095057818158745,0.00307513500469432,1
BTO,-1.2235928538845657,0.00026307434335615977,0.2743984297173342,0.25712220185346124,15.883005936217106,0.000263074343356161,1
BTT,-0.1364848842336598,0.7501001656592143,0.0007711560101416604,-0.006798759474629934,0.10187115188973553,0.750100165659196,1
BTZ,-0.010791622221741154,0.9871965276050025,0.0000019733247694775358,-0.007631599397942113,0.00025850605492089886,0.987196527604987,1
BUI,-0.8010071324410276,0.053935489260344166,0.02916488518443605,0.021459844590661747,3.785169569126125,0.0539354892603445,1
BUSE,-1.9607805738262116,0.0018274703409747407,0.2042949709245181,0.18579020280648362,11.040125962206213,0.00182747034097473,1
BWA,-4.462787108073307,0.1082525318684598,0.05888266195280201,0.036996212230774095,2.6903706494497808,0.108252531868459,1
BWG,-1.0725206807575454,0.000000000000007523265793277098,0.36631602441900846,0.3615514832492265,76.88379874693734,7.52326579327646e-15,1
BWXT,-0.5910160749678759,0.5016003876719894,0.011086462196333025,-0.013033380189122257,0.4596407397346183,0.501600387671997,1
BX,-1.1497051995732224,0.011849985764661631,0.13841699115466766,0.11838017699547387,6.908133701043278,0.0118499857646617,0
BXMT,-1.2361326026032122,0.002241285621562755,0.20149040466297752,0.18247827144066753,10.59799036262463,0.00224128562156276,1
BXMX,-1.4080505960240306,0.20723380585093826,0.03759947999826185,0.014685181902982403,1.640874175674954,0.207233805850937,1
BXP,-0.7476864244593078,0.00000010130689408588798,0.49469339220010744,0.4826622824905862,41.11785231320883,1.01306894085887e-07,1
CAC,-0.5584429172076368,0.25407527931638973,0.03013944478019903,0.007584548147180348,1.33627057887187,0.25407527931639,1
CADE,0.11000236704257046,0.8032161049071369,0.0014263380183612284,-0.021268517935767006,0.06284851603571122,0.803216104907137,1
CAG,-0.6185606804321115,0.1257350455397964,0.053661773500694454,0.03165390776815247,2.4382997494094734,0.125735045539796,1
CAH,-0.7616019718030829,0.421216415552805,0.015466183108114318,-0.00797509824645437,0.659784031178822,0.421216415552808,1
CAL,-2.3246811581896494,0.06805228547830372,-0.0000000000000002220446049250313,-0.0000000000000002220446049250313,,0x000000000000F87F,1
CAPL,-0.02709108707645297,0.9798808129604053,0.00001496272053336245,-0.0232405032627101,0.0006434066100477941,0.979880812960523,0
CASH,-7.4332879380373065,0.7276053894463979,0.0029189255827324345,-0.02082109999863091,0.12295376737183612,0.727605389446391,1
CASS,-1.377936205232889,0.1713287605274656,0.04307008979455473,0.020815905836288562,1.9353704397934846,0.171328760527466,1
CASY,-5.783922682918344,0.012906850887401069,0.13534449379661895,0.11523622621049379,6.730788379303631,0.0129068508874011,0
CAT,0.1335971215327857,0.8988598184647223,0.0003800159326260433,-0.022866960441033868,0.01634689718429804,0.898859818464709,1
CATY,-1.7088833174304492,0.007967148213184413,0.1526390982331981,0.1329330307502492,7.745791917401707,0.00796714821318435,1
CBOE,-1.7188569466207144,0.026218280144203947,0.1234347216572329,0.10036721433242313,5.351021240360718,0.0262182801442039,1
CBRL,-0.8964483569503101,0.00000000000002039227819103503,0.7720160028369085,0.7663164029078313,135.45091101892314,2.0392278191035e-14,1
CBSH,-1.4488389767685088,0.6630814812265746,0.00467512640924006,-0.019601090019802925,0.19258052105875012,0.66308148122658,1
CBT,-0.9285884752638167,0.44843817478481085,0.01342783311312934,-0.009515705651681694,0.5852555375513369,0.44843817478481,1
CBU,2.819096352418261,0.17710051442190253,0.04101107686587924,0.01921587406737646,1.8816561261222364,0.177100514421903,1
CCBG,-0.19484573458876797,0.8640099990452434,0.0007065431491208862,-0.023086158204471463,0.029695793622618708,0.864009999045216,1
CCEC,-0.762513305860012,0.00000000006253571922634541,0.6514891775534655,0.6429889135913549,76.64340548216367,6.25357192263457e-11,1
CCNE,1.5650767824913638,0.8051509029787823,0.0014307379562871203,-0.021791803021473655,0.06160987971373701,0.805150902978789,1
CCOI,-0.9111748762899966,0.1298870379967821,0.05376707325977004,0.031237717861193226,2.3865340267643136,0.129887037996783,1
CDP,3.657611556675154,0.22639927925233197,0.03464312099530609,0.011658433399956314,1.50722609787896,0.226399279252334,1
CDW,0.08148764719486506,0.9253035351018677,0.00020678915094651806,-0.023044215752519914,0.00889377262638862,0.925303535101867,1
CE,0.031342281281519446,0.9761927205666601,0.000020952931734763425,-0.023234373744271508,0.0009009949430784359,0.97619272056651,1
CEV,-0.8012832969031009,0.2747831301613876,0.009028956027254509,0.0015215996335216087,1.2026811508231834,0.27478313016138,1
CF,1.558612452612984,0.27398717016782276,0.027761703763832468,0.005151510828107608,1.2278401976821731,0.273987170167823,1
CFFN,-0.910883320554907,0.00000000000022440257256952824,0.5947468602867233,0.587992641291502,88.05560801441537,2.24402572569529e-13,1
CFR,0.5017706893759841,0.5053772629224667,0.010383161077551106,-0.012631184013668584,0.45116039741284475,0.505377262922468,1
CG,-0.97177825235698,0.000007700526929730153,0.37536868630306486,0.36084237668220587,25.84060894337931,7.70052692973017e-06,0
CGNX,-0.9274617408014565,0.00022042190568181245,0.2983636169531684,0.2803729404647881,16.58434673903861,0.000220421905681812,1
