"",ticker,n_eventos,mae_beta,mae_pdr,mse_beta,mse_pdr,rmse_beta,rmse_pdr,melhor_modelo
748,MYE,44,0.416505,0.147503,0.219074,0.045618,0.468054,0.213583,pdr
749,MYI,134,0.037848,0.032648,0.002581,0.002086,0.050803,0.045672,pdr
750,MYN,133,0.036091,0.032583,0.002272,0.001964,0.047668,0.044322,pdr
751,NAC,138,0.046693,0.042986,0.010021,0.009199,0.100104,0.095910,pdr
752,NAD,136,0.051140,0.045130,0.034718,0.033897,0.186329,0.184111,pdr
753,NAN,135,0.051232,0.050021,0.025258,0.024448,0.158928,0.156357,pdr
754,NAT,42,0.041860,0.047334,0.003521,0.004294,0.059342,0.065528,beta_div
755,NAZ,136,0.055869,0.051127,0.010861,0.010630,0.104218,0.103102,pdr
756,NBH,134,0.065825,0.046255,0.009046,0.005710,0.095109,0.075568,pdr
757,NBHC,45,0.201907,0.203010,0.079083,0.078548,0.281217,0.280264,pdr
758,NBTB,45,0.192022,0.158397,0.068695,0.048436,0.262097,0.220083,pdr
759,NC,45,0.189745,0.190109,0.081315,0.080996,0.285158,0.284597,pdr
760,NCA,136,0.045872,0.042018,0.011681,0.011106,0.108080,0.105387,pdr
761,NCV,134,0.181545,0.207362,0.050985,0.068301,0.225799,0.261345,beta_div
762,NCZ,135,0.176034,0.202469,0.047725,0.083440,0.218461,0.288860,beta_div
763,NDAQ,44,0.254654,0.225190,0.191563,0.189387,0.437679,0.435186,pdr
764,NDSN,44,1.251444,1.168655,3.482651,3.400427,1.866186,1.844025,pdr
765,NEE,45,0.173725,0.163933,0.060542,0.056178,0.246052,0.237018,pdr
766,NEM,46,0.402161,0.370370,0.366221,0.385349,0.605162,0.620765,beta_div
767,NEU,44,3.319131,2.229757,16.484377,11.521896,4.060096,3.394392,pdr
768,NEWT,41,0.156778,0.146484,0.039128,0.037689,0.197809,0.194137,pdr
769,NFBK,45,0.128259,0.098439,0.037623,0.034653,0.193967,0.186153,pdr
770,NFG,44,0.439870,0.195076,0.242829,0.063955,0.492777,0.252894,pdr
771,NFJ,45,0.057349,0.063333,0.007982,0.008214,0.089343,0.090630,beta_div
772,NHC,44,0.458487,0.391893,0.420864,0.371935,0.648740,0.609865,pdr
773,NHI,44,0.321763,0.234504,0.146168,0.096274,0.382320,0.310281,pdr
774,NHTC,42,0.144279,0.141856,0.061905,0.061124,0.248808,0.247233,pdr
775,NI,45,0.107295,0.106955,0.024529,0.024094,0.156619,0.155223,pdr
776,NIE,47,0.098041,0.103232,0.028734,0.027638,0.169511,0.166248,pdr
777,NIM,134,0.030624,0.029558,0.002069,0.002049,0.045486,0.045263,pdr
778,NJR,44,0.304760,0.293302,0.289018,0.272557,0.537604,0.522069,pdr
779,NKE,45,0.622962,0.640123,1.142523,1.114927,1.068888,1.055901,pdr
780,NLY,46,0.092781,0.086980,0.012789,0.010936,0.113090,0.104574,pdr
781,NMFC,45,0.094525,0.073277,0.019795,0.018242,0.140695,0.135065,pdr
782,NMI,134,0.070735,0.053866,0.012478,0.011046,0.111706,0.105101,pdr
783,NML,134,0.062573,0.060506,0.008302,0.007968,0.091114,0.089265,pdr
784,NMZ,134,0.045144,0.038022,0.007028,0.006555,0.083831,0.080963,pdr
785,NNI,45,0.771181,0.533156,1.201699,1.097340,1.096221,1.047540,pdr
786,NNN,45,0.245726,0.152993,0.092971,0.055216,0.304912,0.234982,pdr
787,NNY,136,0.035080,0.028621,0.001823,0.001425,0.042702,0.037750,pdr
788,NOA,43,0.070262,0.071860,0.011946,0.012061,0.109297,0.109823,beta_div
789,NOC,45,1.658190,1.276241,5.389600,4.274321,2.321551,2.067443,pdr
790,NPO,41,0.478690,0.462044,0.426072,0.406249,0.652742,0.637377,pdr
791,NPV,134,0.043776,0.040333,0.003564,0.003146,0.059699,0.056085,pdr
792,NQP,137,0.047478,0.040277,0.003954,0.002972,0.062878,0.054515,pdr
793,NRG,45,0.197607,0.156068,0.196405,0.198667,0.443176,0.445721,beta_div
794,NRIM,45,0.296823,0.280081,0.180025,0.155101,0.424294,0.393829,pdr
795,NRP,46,0.474660,0.405374,0.630866,0.668598,0.794271,0.817678,beta_div
796,NRT,44,0.162249,0.159091,0.056031,0.059670,0.236708,0.244275,beta_div
797,NSP,45,0.538411,0.602458,0.963942,0.960801,0.981805,0.980205,pdr
798,NTAP,45,0.401491,0.396394,0.329876,0.323925,0.574348,0.569144,pdr
799,NTES,43,0.829769,0.847278,2.146140,2.220846,1.464971,1.490250,beta_div
800,NTRS,44,1.143193,0.651221,1.892569,1.257999,1.375707,1.121605,pdr
801,NUE,44,1.712528,0.472698,3.277807,0.427478,1.810472,0.653818,pdr
802,NUS,45,0.275224,0.267412,0.122182,0.115749,0.349546,0.340220,pdr
803,NUV,134,0.038082,0.022953,0.002545,0.001360,0.050444,0.036883,pdr
804,NUW,135,0.056793,0.057003,0.016497,0.016509,0.128439,0.128489,beta_div
805,NVDA,44,0.080537,0.081717,0.022593,0.020365,0.150309,0.142705,pdr
806,NVG,136,0.038455,0.036700,0.005411,0.005023,0.073561,0.070876,pdr
807,NWBI,45,0.072501,0.072083,0.010890,0.010897,0.104354,0.104389,beta_div
808,NWE,44,0.334392,0.346480,0.596100,0.577512,0.772075,0.759942,pdr
809,NWL,45,0.150593,0.129512,0.039170,0.030424,0.197915,0.174426,pdr
810,NWN,45,2.175028,0.207478,4.835160,0.105928,2.198900,0.325466,pdr
811,NX,44,0.206061,0.184504,0.073243,0.060993,0.270634,0.246968,pdr
812,NXDT,117,0.090652,0.099157,0.016789,0.023375,0.129573,0.152890,beta_div
813,NXG,106,0.385831,0.386278,0.489713,0.489395,0.699795,0.699568,pdr
814,NXP,134,0.105519,0.056689,0.026999,0.019525,0.164313,0.139732,pdr
815,NXST,45,0.797045,0.728881,1.631884,1.690485,1.277452,1.300187,beta_div
816,NYMT,44,0.160851,0.157266,0.050940,0.050880,0.225699,0.225566,pdr
817,NYT,45,0.152630,0.154668,0.065749,0.062641,0.256416,0.250282,pdr
818,NZF,137,0.048133,0.044946,0.016340,0.015255,0.127828,0.123513,pdr
819,O,134,0.254044,0.231620,0.132586,0.110659,0.364123,0.332654,pdr
820,OCFC,45,0.187600,0.184085,0.081468,0.079358,0.285425,0.281705,pdr
821,OCSL,69,0.161812,0.143128,0.052322,0.045719,0.228740,0.213820,pdr
822,ODC,45,0.131950,0.122699,0.030217,0.028041,0.173829,0.167455,pdr
823,OFG,44,0.187702,0.201976,0.253788,0.246584,0.503774,0.496572,pdr
824,OFS,44,0.220186,0.127220,0.072272,0.029386,0.268834,0.171422,pdr
825,OGE,45,0.147614,0.117695,0.047675,0.038423,0.218346,0.196019,pdr
826,OHI,46,0.201165,0.195200,0.122986,0.120645,0.350693,0.347340,pdr
827,OIA,134,0.124559,0.032926,0.020044,0.007232,0.141575,0.085039,pdr
828,OKE,45,0.364881,0.307882,0.216685,0.172788,0.465494,0.415678,pdr
829,OLN,45,0.313916,0.313916,0.187745,0.187745,0.433295,0.433295,pdr
830,OLP,44,1.115426,0.163758,1.285764,0.079261,1.133915,0.281534,pdr
831,OMC,44,0.863566,0.517797,1.050664,0.578238,1.025019,0.760420,pdr
832,ONB,45,0.292171,0.086362,0.093070,0.017848,0.305074,0.133598,pdr
833,OPY,47,0.163918,0.164434,0.038086,0.038364,0.195158,0.195867,beta_div
834,ORA,44,0.508404,0.540384,1.247708,1.225184,1.117009,1.106880,pdr
835,ORC,134,0.173768,0.167696,0.132783,0.132897,0.364394,0.364550,beta_div
836,ORCL,45,0.467445,0.367576,0.490258,0.430572,0.700184,0.656180,pdr
837,ORI,48,0.095772,0.099655,0.023622,0.024047,0.153694,0.155072,beta_div
838,OTEX,45,0.172530,0.156350,0.051077,0.047562,0.226003,0.218086,pdr
839,OTTR,45,1.815066,0.347927,3.584952,0.378221,1.893397,0.614997,pdr
840,OVV,44,0.509028,0.473636,0.406122,0.398675,0.637277,0.631407,pdr
841,OXLC,102,0.060328,0.056345,0.013310,0.014551,0.115368,0.120628,beta_div
842,OXM,45,0.450417,0.477019,0.398532,0.370480,0.631294,0.608671,pdr
843,OXSQ,92,0.030326,0.033232,0.002123,0.002534,0.046079,0.050337,beta_div
844,OXY,44,0.882863,1.771138,2.837770,6.930644,1.684568,2.632612,beta_div
845,OZK,45,0.334949,0.326112,0.211956,0.210373,0.460387,0.458664,pdr
846,PAA,45,0.127556,0.123513,0.025274,0.023489,0.158979,0.153262,pdr
847,PAG,43,0.742017,0.595200,0.961275,0.916730,0.980446,0.957460,pdr
848,PAGP,45,0.157032,0.156339,0.038154,0.038059,0.195330,0.195086,pdr
849,PAI,134,0.059049,0.054514,0.007632,0.006420,0.087362,0.080124,pdr
850,PARA,43,0.283655,0.297695,0.196794,0.196465,0.443615,0.443243,pdr
851,PAYX,45,0.392976,0.372117,0.380110,0.376001,0.616530,0.613189,pdr
852,PB,44,0.950531,0.543123,1.208233,0.797216,1.099197,0.892869,pdr
853,PBA,114,0.198180,0.201177,0.086881,0.087505,0.294755,0.295813,beta_div
854,PBT,134,0.069416,0.069407,0.013005,0.013042,0.114041,0.114203,beta_div
855,PCAR,56,0.350604,0.421129,0.401878,0.474868,0.633938,0.689107,beta_div
856,PCF,123,0.035649,0.034583,0.003634,0.003637,0.060280,0.060305,beta_div
857,PCH,47,0.247790,0.249801,0.120136,0.125745,0.346606,0.354606,beta_div
858,PCK,136,0.034226,0.032243,0.002163,0.001860,0.046504,0.043128,pdr
859,PCM,136,0.062302,0.062271,0.006503,0.006498,0.080643,0.080608,pdr
860,PCN,140,0.065649,0.064205,0.010015,0.009764,0.100073,0.098814,pdr
861,PCQ,136,0.070053,0.068611,0.011556,0.011282,0.107501,0.106217,pdr
862,PDCO,44,0.531240,0.141255,0.318335,0.042098,0.564212,0.205177,pdr
863,PDI,140,0.087103,0.087159,0.015027,0.015069,0.122587,0.122758,beta_div
864,PDM,47,0.086447,0.080469,0.014028,0.013639,0.118438,0.116784,pdr
865,PEB,45,0.118676,0.189414,0.026423,0.054756,0.162553,0.234000,beta_div
866,PEBO,45,0.213839,0.210418,0.092044,0.091891,0.303388,0.303135,pdr
867,PEG,44,0.395748,0.289781,0.405970,0.292744,0.637158,0.541058,pdr
868,PEGA,44,0.391807,0.312952,0.256692,0.180175,0.506648,0.424470,pdr
869,PEO,45,0.123251,0.134611,0.040381,0.043098,0.200950,0.207600,beta_div
870,PEP,44,0.431372,0.432738,0.390077,0.389242,0.624561,0.623893,pdr
871,PFBC,42,0.434942,0.415408,0.450271,0.408633,0.671022,0.639244,pdr
872,PFD,134,0.086949,0.066901,0.013822,0.009170,0.117567,0.095760,pdr
873,PFE,45,0.366449,0.203552,0.173214,0.079145,0.416190,0.281326,pdr
874,PFL,135,0.043525,0.034534,0.003148,0.001874,0.056103,0.043289,pdr
875,PFLT,138,0.052963,0.053367,0.005462,0.005435,0.073904,0.073724,pdr
876,PFN,137,0.034173,0.026268,0.002386,0.001833,0.048846,0.042818,pdr
877,PFO,134,0.057516,0.057486,0.006171,0.006170,0.078553,0.078551,pdr
878,PFS,46,0.109862,0.109685,0.019356,0.019355,0.139124,0.139123,pdr
879,PG,45,0.602974,0.527792,0.690968,0.470594,0.831245,0.685999,pdr
880,PGC,45,0.225778,0.225778,0.122267,0.122267,0.349666,0.349666,pdr
881,PGP,134,0.087734,0.083498,0.016199,0.015860,0.127275,0.125938,pdr
882,PGZ,134,0.085395,0.084751,0.019230,0.019217,0.138673,0.138626,pdr
883,PH,45,2.146217,1.550834,9.104402,8.088183,3.017350,2.843973,pdr
884,PHD,134,0.031758,0.026206,0.001585,0.001203,0.039815,0.034691,pdr
885,PHK,134,0.034612,0.034767,0.003184,0.003182,0.056431,0.056409,pdr
886,PHM,44,0.388905,0.376094,0.532438,0.495145,0.729684,0.703666,pdr
887,PHT,133,0.051118,0.033199,0.003642,0.002227,0.060346,0.047186,pdr
888,PII,45,0.750748,0.555449,0.836962,0.568073,0.914856,0.753706,pdr
889,PIM,135,0.016890,0.012604,0.000514,0.000342,0.022664,0.018498,pdr
890,PKE,50,0.090518,0.128844,0.012841,0.053236,0.113319,0.230729,beta_div
891,PKG,44,0.691766,0.666286,1.375323,1.333866,1.172742,1.154931,pdr
892,PKOH,42,0.341066,0.341066,0.197367,0.197367,0.444260,0.444260,pdr
893,PLD,44,1.046069,0.627200,1.847208,1.225017,1.359120,1.106805,pdr
894,PLOW,44,0.969092,0.208540,0.995748,0.067573,0.997872,0.259948,pdr
895,PLPC,44,0.704546,0.704546,1.031792,1.031792,1.015772,1.015772,pdr
896,PM,44,0.390747,0.339307,0.229985,0.191297,0.479567,0.437375,pdr
897,PMF,136,0.047945,0.039585,0.003902,0.002956,0.062469,0.054368,pdr
898,PML,134,0.062863,0.042154,0.006611,0.004110,0.081308,0.064106,pdr
899,PMM,135,0.017625,0.017416,0.000704,0.000702,0.026530,0.026499,pdr
900,PMO,135,0.037467,0.029339,0.003226,0.002456,0.056795,0.049554,pdr
901,PMT,45,0.129949,0.081226,0.023878,0.014615,0.154525,0.120891,pdr
902,PMX,136,0.045059,0.033664,0.003025,0.001964,0.054996,0.044313,pdr
903,PNFP,45,0.652518,0.467273,0.694942,0.515776,0.833632,0.718175,pdr
904,PNI,133,0.055264,0.043990,0.005320,0.003661,0.072940,0.060508,pdr
905,PNNT,56,0.044290,0.044307,0.004117,0.003767,0.064166,0.061373,pdr
906,PNR,45,0.631726,0.286518,0.508204,0.171058,0.712884,0.413592,pdr
907,PNW,45,0.335017,0.322736,0.188261,0.181372,0.433890,0.425878,pdr
908,POOL,44,1.967377,1.593431,8.410520,8.245520,2.900090,2.871501,pdr
909,POWI,45,0.453756,0.397275,0.359502,0.314363,0.599585,0.560681,pdr
910,POWL,45,119.868318,2.053933,14407.480899,41.415420,120.031166,6.435481,pdr
911,PPG,45,0.689143,0.702652,1.950568,1.935539,1.396627,1.391237,pdr
912,PPL,44,0.402471,0.157889,0.200507,0.086431,0.447780,0.293992,pdr
913,PPT,135,0.012766,0.012666,0.000283,0.000279,0.016818,0.016717,pdr
914,PRGO,43,0.808352,0.498982,1.237559,1.010029,1.112456,1.005002,pdr
915,PRI,45,0.725868,0.729690,1.068337,1.019855,1.033604,1.009879,pdr
916,PRIM,44,0.243684,0.111484,0.073720,0.022076,0.271515,0.148579,pdr
917,PRK,45,1.983076,0.569043,4.520659,0.660882,2.126184,0.812946,pdr
918,PRMB,44,0.087565,0.085423,0.017012,0.023306,0.130429,0.152662,beta_div
919,PRU,45,0.600903,0.562923,0.647016,0.581219,0.804373,0.762377,pdr
920,PSA,45,1.700704,1.785763,7.245070,6.853608,2.691667,2.617940,pdr
921,PSEC,135,0.033556,0.031778,0.002720,0.002557,0.052158,0.050569,pdr
922,PSF,139,0.089643,0.089896,0.015172,0.015163,0.123176,0.123139,pdr
923,PSX,45,0.625033,0.623702,0.755157,0.755221,0.868998,0.869035,beta_div
924,PTEN,45,0.173548,0.190436,0.064550,0.064439,0.254067,0.253848,pdr
925,PTMN,44,0.376988,0.325245,0.225416,0.247092,0.474780,0.497083,beta_div
926,PTY,140,0.082788,0.059685,0.012295,0.008560,0.110883,0.092521,pdr
927,PVL,108,0.035786,0.036600,0.002601,0.002645,0.050995,0.051428,beta_div
928,PZC,135,0.054210,0.037188,0.004266,0.002208,0.065318,0.046989,pdr
929,PZZA,45,0.547512,0.470146,0.708092,0.549360,0.841482,0.741189,pdr
930,QCOM,45,0.904209,0.712878,1.477520,1.143208,1.215533,1.069209,pdr
931,QQQX,44,0.206919,0.162124,0.102680,0.083623,0.320438,0.289177,pdr
932,R,45,0.579545,0.455811,0.627522,0.461309,0.792163,0.679198,pdr
933,RBCAA,44,0.380005,0.212150,0.199723,0.108198,0.446904,0.328934,pdr
934,RC,45,0.067801,0.057248,0.008241,0.006172,0.090779,0.078562,pdr
935,RCI,42,0.262380,0.186537,0.148038,0.120941,0.384757,0.347766,pdr
936,RCKY,45,0.334346,0.223389,0.157506,0.116178,0.396870,0.340849,pdr
937,RCS,135,0.054101,0.043975,0.004721,0.003505,0.068707,0.059203,pdr
938,RDN,45,0.143764,0.650103,0.033789,0.850345,0.183818,0.922141,beta_div
939,RDUS,45,0.225185,0.225185,0.141475,0.141475,0.376132,0.376132,pdr
940,REG,44,0.478509,0.290313,0.318167,0.160986,0.564063,0.401231,pdr
941,RELL,45,0.053985,0.053985,0.006460,0.006460,0.080372,0.080372,pdr
942,REXR,44,0.154305,0.154905,0.054418,0.053994,0.233277,0.232366,pdr
943,RF,45,0.110077,0.109488,0.026559,0.026641,0.162971,0.163220,beta_div
944,RGA,45,0.614216,0.619013,0.990557,0.937548,0.995267,0.968271,pdr
945,RGLD,44,1.188954,0.573385,1.802924,0.597753,1.342730,0.773145,pdr
946,RGP,45,0.074542,0.073995,0.011550,0.011233,0.107471,0.105984,pdr
947,RGR,45,0.289097,0.306023,0.159334,0.168533,0.399166,0.410528,beta_div
948,RHI,45,0.347848,0.324350,0.283094,0.280536,0.532066,0.529657,pdr
949,RITM,44,0.051604,0.053948,0.004833,0.005044,0.069521,0.071024,beta_div
950,RJF,44,0.387861,0.380115,0.254042,0.243959,0.504026,0.493922,pdr
951,RL,40,1.455684,0.822282,3.042101,1.562082,1.744162,1.249833,pdr
952,RLI,45,0.223921,0.225986,0.094473,0.095102,0.307365,0.308385,beta_div
953,RLJ,45,0.093030,0.179573,0.016925,0.047128,0.130096,0.217089,beta_div
954,RMAX,40,0.213573,0.214026,0.095795,0.102170,0.309508,0.319641,beta_div
955,RMT,44,0.044460,0.046048,0.003093,0.003230,0.055617,0.056837,beta_div
956,RNP,113,0.083196,0.081215,0.013813,0.013218,0.117528,0.114968,pdr
957,RNR,41,1.371172,1.078263,5.129415,4.126904,2.264821,2.031478,pdr
958,RNST,44,0.870593,0.380279,0.937577,0.477423,0.968286,0.690958,pdr
959,ROK,45,2.689107,1.291648,9.896922,5.247219,3.145937,2.290681,pdr
960,ROL,45,0.085286,0.084256,0.017685,0.017611,0.132985,0.132708,pdr
961,ROP,45,2.033942,1.758830,7.960782,7.532953,2.821486,2.744623,pdr
962,ROST,41,0.634312,0.595573,1.911407,1.908740,1.382537,1.381572,pdr
963,RPM,45,0.470346,0.409398,0.458522,0.362529,0.677143,0.602104,pdr
964,RQI,114,0.054852,0.055174,0.006580,0.006485,0.081120,0.080531,pdr
965,RRX,45,0.495396,0.526294,0.482018,0.609498,0.694275,0.780703,beta_div
966,RS,44,0.866202,0.850267,1.988908,1.894786,1.410287,1.376512,pdr
967,RTX,45,0.440094,0.391902,0.312490,0.276199,0.559008,0.525547,pdr
968,RVT,44,0.051484,0.051493,0.005008,0.005003,0.070765,0.070731,pdr
969,RWT,44,0.163350,0.075327,0.033552,0.017550,0.183171,0.132478,pdr
970,RY,41,0.584728,0.330351,0.486686,0.240984,0.697629,0.490901,pdr
971,SABA,134,0.036455,0.035651,0.002689,0.002760,0.051858,0.052537,beta_div
972,SAFT,45,0.487258,0.340631,0.401019,0.288556,0.633261,0.537174,pdr
973,SAH,44,0.337833,0.331980,0.269971,0.284318,0.519587,0.533214,beta_div
974,SAIC,45,0.474095,0.434743,0.414315,0.377719,0.643673,0.614589,pdr
975,SAMG,44,0.148470,0.139430,0.041258,0.037917,0.203121,0.194722,pdr
976,SASR,45,0.371537,0.257445,0.279405,0.192904,0.528588,0.439208,pdr
977,SBGI,44,0.237223,0.163076,0.107634,0.058523,0.328077,0.241915,pdr
978,SBI,134,0.028763,0.026703,0.001381,0.001160,0.037164,0.034056,pdr
979,SBR,134,0.293377,0.308608,0.243259,0.242069,0.493213,0.492005,pdr
980,SBRA,45,0.110384,0.082579,0.018158,0.012194,0.134751,0.110425,pdr
981,SBSI,45,0.606719,0.221312,0.514002,0.159271,0.716940,0.399088,pdr
982,SBUX,45,0.441427,0.439030,0.353725,0.353918,0.594748,0.594910,beta_div
983,SCD,56,0.093395,0.071873,0.012799,0.007827,0.113135,0.088470,pdr
984,SCHL,45,0.159879,0.154082,0.053437,0.052266,0.231165,0.228617,pdr
985,SCI,44,0.289389,0.258645,0.316833,0.300456,0.562880,0.548139,pdr
986,SCL,45,0.441390,0.426231,0.311367,0.307312,0.558003,0.554357,pdr
987,SCM,129,0.092333,0.063023,0.013265,0.006920,0.115172,0.083188,pdr
988,SCS,44,0.112884,0.073942,0.018211,0.011623,0.134948,0.107809,pdr
989,SCVL,45,0.155362,0.150878,0.044691,0.043168,0.211403,0.207770,pdr
990,SEE,44,0.283115,0.240558,0.141375,0.118691,0.375999,0.344516,pdr
991,SEVN,44,0.101567,0.100960,0.015181,0.015088,0.123210,0.122831,pdr
992,SFNC,44,0.502988,0.237923,0.329082,0.182482,0.573657,0.427180,pdr
993,SGC,44,0.114333,0.109218,0.022606,0.021104,0.150354,0.145272,pdr
994,SGU,45,0.084325,0.054395,0.009813,0.004976,0.099061,0.070542,pdr
995,SHEL,44,0.538843,0.427976,0.444288,0.309198,0.666550,0.556056,pdr
996,SHW,45,0.782130,0.789732,1.659132,1.656955,1.288073,1.287228,pdr
997,SIGI,45,0.608797,0.329083,0.487067,0.203527,0.697902,0.451139,pdr
998,SIMO,40,0.232285,0.235461,0.109982,0.105834,0.331635,0.325322,pdr
999,SITC,41,0.731592,0.890046,0.849571,1.422740,0.921722,1.192787,beta_div
1000,SJM,45,1.099892,0.471802,1.976666,0.809862,1.405939,0.899923,pdr
1001,SJT,109,0.059045,0.059578,0.006753,0.006846,0.082179,0.082739,beta_div
1002,SKT,44,0.266462,0.149193,0.118858,0.064458,0.344758,0.253885,pdr
1003,SLB,45,0.427834,0.389236,0.259315,0.241857,0.509230,0.491789,pdr
1004,SLG,84,0.437120,0.469432,0.391942,0.414180,0.626053,0.643569,beta_div
1005,SLGN,44,0.138473,0.136959,0.103281,0.103308,0.321374,0.321416,beta_div
1006,SLP,43,0.657685,0.170065,0.470106,0.072784,0.685643,0.269785,pdr
1007,SLRC,56,0.085385,0.084456,0.012871,0.011631,0.113450,0.107848,pdr
1008,SMP,43,0.498780,0.354165,0.591057,0.379849,0.768803,0.616319,pdr
1009,SNA,45,0.864797,0.784176,1.411553,1.333293,1.188088,1.154683,pdr
1010,SNV,44,0.306530,0.305403,0.240867,0.239498,0.490782,0.489385,pdr
1011,SO,45,0.331595,0.176195,0.152791,0.053182,0.390884,0.230611,pdr
1012,SON,45,0.254044,0.265429,0.284416,0.276970,0.533307,0.526280,pdr
1013,SOR,81,0.257074,0.508186,0.162688,4.819630,0.403346,2.195366,beta_div
1014,SPG,44,1.341339,0.704365,2.535064,0.910314,1.592188,0.954104,pdr
1015,SPGI,45,1.343627,1.290292,3.778400,3.730815,1.943811,1.931532,pdr
1016,SPH,45,0.134260,0.134095,0.030499,0.030436,0.174638,0.174458,pdr
1017,SPOK,45,0.123532,0.094108,0.026418,0.018748,0.162536,0.136925,pdr
1018,SPTN,44,0.146028,0.145512,0.049905,0.049904,0.223393,0.223391,pdr
1019,SPXX,44,0.088085,0.086445,0.016782,0.016714,0.129546,0.129282,pdr
1020,SR,44,0.314274,0.250709,0.184440,0.157975,0.429465,0.397461,pdr
1021,SRCE,45,0.303574,0.279319,0.233836,0.225606,0.483566,0.474981,pdr
1022,SRE,44,0.240399,0.198958,0.093515,0.067908,0.305802,0.260591,pdr
1023,SRV,124,0.372393,0.362649,0.388206,0.507964,0.623062,0.712716,beta_div
1024,SSNC,42,0.313952,0.339343,0.257820,0.247578,0.507760,0.497572,pdr
1025,STAG,134,0.648841,0.121444,0.444489,0.027224,0.666700,0.164998,pdr
1026,STBA,45,0.193278,0.189662,0.069873,0.068979,0.264335,0.262638,pdr
1027,STE,44,0.815445,0.799315,1.481648,1.481048,1.217229,1.216983,pdr
1028,STEW,63,0.032727,0.034303,0.002277,0.002317,0.047718,0.048140,beta_div
1029,STK,51,0.142933,0.147812,0.036584,0.036008,0.191269,0.189759,pdr
1030,STLD,44,0.506483,0.282909,0.334268,0.235518,0.578159,0.485302,pdr
1031,STM,43,0.467104,0.422583,0.714405,0.598891,0.845225,0.773881,pdr
1032,STNG,43,0.373400,0.396456,0.370575,0.383269,0.608749,0.619088,beta_div
1033,STT,44,0.460404,0.460125,0.414299,0.414072,0.643660,0.643484,pdr
1034,STX,44,0.831761,0.459651,0.968229,0.545882,0.983986,0.738839,pdr
1035,STZ,40,0.837569,0.713436,1.156540,0.980798,1.075425,0.990352,pdr
1036,SU,41,0.218431,0.217664,0.074562,0.073951,0.273060,0.271939,pdr
1037,SUI,44,0.637262,0.453739,0.666502,0.496218,0.816396,0.704427,pdr
1038,SUN,45,0.226715,0.235082,0.113247,0.100757,0.336521,0.317422,pdr
1039,SWK,45,0.676142,0.489139,0.667587,0.492842,0.817060,0.702027,pdr
1040,SWKS,44,0.672325,0.673477,0.773663,0.769695,0.879581,0.877322,pdr
1041,SWX,45,0.516967,0.334913,0.407395,0.208015,0.638275,0.456086,pdr
1042,SXI,45,0.934283,0.860359,2.888733,2.759220,1.699627,1.661090,pdr
1043,SXT,45,0.407840,0.402354,0.324410,0.317280,0.569570,0.563276,pdr
1044,SYBT,45,0.387653,0.295130,0.284811,0.249682,0.533677,0.499682,pdr
1045,SYK,44,0.680885,0.670091,0.825493,0.801967,0.908566,0.895526,pdr
1046,SYY,44,0.198776,0.193535,0.064826,0.061256,0.254610,0.247499,pdr
1047,T,45,0.247779,0.100690,0.072831,0.017173,0.269871,0.131046,pdr
1048,TAP,40,0.463778,0.349048,0.462545,0.362759,0.680106,0.602295,pdr
1049,TBNK,57,0.134119,0.187249,0.049281,0.062732,0.221993,0.250463,beta_div
1050,TCBK,44,0.263392,0.250984,0.179741,0.178600,0.423959,0.422610,pdr
1051,TCPC,44,0.241920,0.224811,0.524567,0.524455,0.724270,0.724193,pdr
1052,TDS,44,0.211422,0.206649,0.173236,0.149276,0.416217,0.386362,pdr
1053,TECH,45,0.478296,0.371800,0.658463,0.561189,0.811457,0.749126,pdr
1054,TEI,98,0.036057,0.033439,0.002569,0.002729,0.050684,0.052242,beta_div
1055,TEL,43,0.682895,0.656806,0.972460,0.960933,0.986134,0.980272,pdr
1056,TER,44,0.836194,0.698712,1.332581,1.185199,1.154375,1.088668,pdr
1057,TEX,41,0.301528,0.312923,0.184755,0.178879,0.429832,0.422940,pdr
1058,TFC,46,0.255228,0.237902,0.116098,0.101101,0.340731,0.317964,pdr
1059,TFX,44,1.423802,1.423802,5.027933,5.027933,2.242305,2.242305,pdr
1060,TG,40,0.126125,0.209917,0.038139,0.239218,0.195291,0.489099,beta_div
1061,TGNA,44,0.153813,0.088460,0.032084,0.013574,0.179121,0.116508,pdr
1062,TGT,45,2.308749,2.363284,34.203973,33.990913,5.848416,5.830173,pdr
1063,THG,45,1.021019,1.236026,10.187986,10.217936,3.191862,3.196551,beta_div
1064,THO,44,1.016827,0.545300,1.469350,0.715497,1.212167,0.845870,pdr
1065,TILE,44,0.090879,0.100618,0.012829,0.016540,0.113265,0.128606,beta_div
1066,TJX,42,0.368993,0.331168,0.268997,0.247149,0.518649,0.497140,pdr
1067,TKR,45,0.375103,0.328220,0.196765,0.173820,0.443582,0.416918,pdr
1068,TMO,44,2.889282,2.267665,13.726451,12.320343,3.704923,3.510035,pdr
1069,TMP,45,0.465440,0.460728,0.320538,0.310656,0.566161,0.557365,pdr
1070,TNC,45,1.110031,0.336205,1.455597,0.245502,1.206481,0.495481,pdr
1071,TNL,44,0.441210,0.328105,0.321683,0.280862,0.567171,0.529964,pdr
1072,TOWN,44,0.142386,0.149130,0.049411,0.048361,0.222285,0.219910,pdr
1073,TPR,40,0.828100,0.271980,0.788868,0.123715,0.888183,0.351732,pdr
1074,TR,45,0.231712,0.160093,0.086095,0.061586,0.293419,0.248165,pdr
