"",ticker,n_eventos,mae_beta,mae_pdr,mse_beta,mse_pdr,rmse_beta,rmse_pdr,melhor_modelo
238,COLM,41,0.575778,0.542739,0.838450,0.827453,0.915669,0.909644,pdr
239,COP,53,0.662890,0.583788,0.863647,0.744155,0.929326,0.862644,pdr
240,COR,45,0.563276,0.541247,0.878216,0.834275,0.937132,0.913387,pdr
241,COST,49,1.212325,1.380865,3.604493,4.147134,1.898550,2.036451,beta_div
242,CP,43,0.231204,0.216339,0.103468,0.093164,0.321664,0.305227,pdr
243,CPB,45,0.352138,0.154743,0.157663,0.048036,0.397069,0.219170,pdr
244,CPF,44,0.151350,0.149361,0.038266,0.037247,0.195618,0.192996,pdr
245,CPK,44,0.796447,0.704566,3.576855,3.226948,1.891258,1.796371,pdr
246,CPT,45,0.421397,0.421770,0.371718,0.362453,0.609687,0.602041,pdr
247,CQP,45,0.390258,0.355562,0.305108,0.293990,0.552366,0.542208,pdr
248,CRF,134,0.081365,0.081444,0.016581,0.016583,0.128766,0.128777,beta_div
249,CRI,40,0.596889,0.541548,0.602113,0.548042,0.775959,0.740298,pdr
250,CRS,45,0.446732,0.424471,0.302011,0.281202,0.549556,0.530285,pdr
251,CRT,133,0.126190,0.117588,0.026947,0.026073,0.164155,0.161470,pdr
252,CSCO,45,0.223954,0.220736,0.089008,0.085773,0.298342,0.292870,pdr
253,CSGS,44,0.328087,0.247550,0.157313,0.111622,0.396627,0.334098,pdr
254,CSL,45,0.996999,0.978902,2.310136,2.302767,1.519913,1.517487,pdr
255,CSQ,133,0.076982,0.069499,0.015524,0.014719,0.124594,0.121321,pdr
256,CSR,44,0.362215,0.326071,0.214000,0.180657,0.462601,0.425038,pdr
257,CSV,45,0.208274,0.208945,0.085457,0.084929,0.292330,0.291426,pdr
258,CSX,45,0.183115,0.111663,0.048832,0.028479,0.220980,0.168758,pdr
259,CTBI,44,0.650926,0.276896,0.552790,0.237269,0.743498,0.487103,pdr
260,CTRA,45,0.224074,0.424171,0.106553,0.319239,0.326425,0.565013,beta_div
261,CTS,44,0.229959,0.229959,0.116493,0.116493,0.341310,0.341310,pdr
